coverage	number-of-nucl
1	17340
2	3037
3	1322
4	929
5	710
6	534
7	646
8	592
9	524
10	580
11	567
12	574
13	541
14	551
15	729
16	657
17	651
18	658
20	539
21	561
22	555
23	598
24	497
19	702
25	414
26	432
27	368
28	310
31	358
32	428
34	371
35	390
36	383
33	383
37	292
38	342
39	357
40	294
41	316
42	293
43	256
45	252
46	293
47	278
49	225
52	160
55	167
57	156
60	133
61	123
59	131
58	125
62	124
54	145
56	159
63	105
64	129
65	157
67	154
69	113
70	132
71	134
73	84
72	114
74	114
75	85
76	89
77	108
78	95
81	94
80	116
79	131
82	80
83	73
84	79
86	92
85	73
87	65
88	83
89	68
66	156
48	241
44	285
29	388
30	399
50	172
51	164
53	189
91	50
90	61
92	54
94	48
93	46
95	40
96	35
97	21
98	26
99	26
100	28
101	30
104	34
103	36
102	32
68	134
105	28
107	18
106	35
108	16
110	24
109	16
114	28
112	23
111	25
113	17
117	22
121	22
118	40
119	40
124	20
125	23
123	20
126	20
128	25
131	31
130	26
127	15
134	17
133	11
137	23
136	20
138	11
135	8
140	14
139	15
141	14
143	6
147	5
148	7
146	6
145	6
142	5
132	23
129	19
122	24
115	33
116	38
120	22
144	10
149	8
153	20
154	18
150	5
152	13
155	13
156	13
157	14
159	14
160	11
162	2
166	8
164	4
167	5
169	7
168	3
165	6
151	10
158	11
161	7
163	5
171	9
175	5
179	5
177	6
181	7
185	5
187	5
186	9
183	6
184	4
191	6
190	5
192	3
189	3
188	4
182	8
178	1
180	13
170	8
172	3
173	5
174	3
176	1

